2017-12-14 09:33:32,093 INFO NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 735  - Open connection to SQL Server  
2017-12-14 09:33:41,095 ERROR NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 9736  - Exception: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)  
2017-12-14 09:34:02,940 ERROR NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckUserIsSysAdmin 31582  - Exception: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)  
2017-12-14 09:34:05,769 INFO NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 34410  - Open connection to SQL Server  
2017-12-14 09:34:05,769 ERROR NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 34410  - Exception: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)  
2017-12-14 09:34:15,171 INFO NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 43812  - Open connection to SQL Server  
2017-12-14 09:34:24,364 ERROR NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 53006  - Exception: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)  
2017-12-14 09:35:01,607 INFO NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 90249  - Open connection to SQL Server  
2017-12-14 09:35:08,013 ERROR NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 96654  - Exception: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)  
2017-12-14 09:35:13,067 INFO NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 101709  - Open connection to SQL Server  
2017-12-14 09:35:19,524 ERROR NGOCLD-LAP\ngocld Profiler.Helpers.clsDataAccess CheckConnectSQL 108165  - Exception: A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server)  
